name,address,zip,food_type,average_price
Amuse ,323 E Wacker Dr,60601,"American (New), Small Plates/Tapas",11.99
Angels & Kings ,230 N Michigan Ave,60601,Bar Food,7.72
Ara-On ,190 S LaSalle St,60601,"Japanese, Sushi, Cocktails",8.35
Argo Tea ,140 S Dearborn St,60603,"Teahouses, Sandwiches, Other, Cafes & Coffeehouses",11.08
Argo Tea ,1 N Dearborn St,60602,"Teahouses, Sandwiches, Other, Cafes & Coffeehouses",11.08
Argo Tea ,1 S Franklin St,60606,"Teahouses, Sandwiches, Other, Cafes & Coffeehouses",11.08
Argo Tea ,233 S Wacker Dr,60606,"Teahouses, Sandwiches, Other, Cafes & Coffeehouses",11.08
Argo Tea Cafe ,16 W Randolph St,60601,"Teahouses, Sandwiches, Other, Cafes & Coffeehouses",11.08
Aria ,200 N Columbus Dr,60601,"American (New), Eclectic & International, Sushi, Local/Organic, Asian Fusion",15.06
Armand's Pizzeria Express ,151 N Michigan Ave,60602,"Pizza, Italian",7.19
Atwood Cafe ,1 W Washington St,60602,"American (New), Local/Organic",12.07
Avanti Caffe ,200 W Jackson Blvd,60606,"Cafes & Coffeehouses, Italian, Sandwiches",4.57
Ba Le Cafe ,166 W Washington St,60602,"Sandwiches, Vietnamese",5.27
Backstage Bistro ,180 N Wabash Ave,60601,American (New),9.09
Bar Novo ,1 W Wacker Drive,60601,"American (New), Bar Food, Gastropub, Cocktails",9.13
Beaver's Coffee & Donuts ,Location Varies,60606,Bakeries,5.67
Beef & Brandy ,127 S State St,60603,American (Traditional),7.36
Belden Deli  (CLOSED),5 S Wabash Ave,60603,"Delis, Sandwiches",5.48
Bella Bacino's ,75 E Wacker Dr,60601,"Italian, Pizza",9.07
Benjyehuda ,10 S LaSalle St,60603,Middle Eastern,4.64
Bennigan's Grill & Tavern ,150 S Michigan Ave,60603,American (Traditional),10.19
Berghoff Cafe ,17 W Adams St,60603,"German, American (Traditional)",7.25
Berghoff Restaurant ,17 W Adams St,60603,"German, American (Traditional)",8.97
Bergstein's NY Deli ,Location Varies,60606,"Sandwiches, Delis",6.54
BIG Bar ,151 E Wacker Dr,60601,"American (New), Bar Food, Cocktails",18.85
Billy Goat III ,330 S Wells St,60606,"American (Traditional), Burgers",3.53
Blackwood BBQ ,305 W Lake St,60624,"Barbecue, Southern & Soul",1.53
Bombay Wraps ,122 N Wells St,60601,"Indian, Sandwiches",3.06
Brian's Juice Bar & Deli ,80 E Lake St,60601,"Health Food, Mediterranean, Middle Eastern, Sandwiches, Smoothies/Juice Bar",3.97
Bridgeport Pasty Co ,Location varies,60606,"British (Traditional), Other",0
Brown Bag Lunch Truck ,Location Varies,60606,"Southern & Soul, Barbecue",0
Brown's Chicken ,151 N Michigan Ave,60601,"Chicken, Sandwiches, Italian",6.63
Burrito Beach ,19 S La Salle St ,60603,Mexican,4.96
Burrito Beach ,233 N Michigan Ave,60601,Mexican,4.96
Cafe Bon Appetit ,227 W Monroe St,60606,Eclectic & International,7.08
Cafecito ,7 N Wells St,60602,"Cuban, Sandwiches, Cafes & Coffeehouses",3.76
Caffe Baci ,225 W Wacker Dr,60606,"Italian, Sandwiches",5.58
Caffe Baci ,231 S LaSalle St,60604,"Italian, Sandwiches",5.43
Caffe Baci ,2 N LaSalle St,60602,"Italian, Sandwiches",5.43
Caffe Baci ,20 N Michigan Ave,60602,"Italian, Sandwiches",5.43
Cardozo's Pub ,170 W Washington St,60602,"Sandwiches, American (Traditional), Bar Food",9.09
Caribou Coffee ,311 W Monroe St,60606,Cafes & Coffeehouses,0
Caribou Coffee ,55 W Monroe St,60603,Cafes & Coffeehouses,0
Caribou Coffee ,10 S LaSalle St,60603,Cafes & Coffeehouses,0
Caribou Coffee ,200 N LaSalle St,60601,Cafes & Coffeehouses,0
Caribou Coffee ,20 N Michigan Ave,60602,Cafes & Coffeehouses,0
Catch & Carry ,35 W Wacker Dr,60601,"Delis, Sandwiches",14.72
Catch Thirty Five (Catch 35) ,35 W Wacker Dr,60601,"Seafood, Steakhouses, Fish & Chips",11.59
Chen's Chinese Express  (CLOSED),17 S Wabash Ave,60603,Chinese,6.32
Chicago Subs ,81 E Madison St,60602,"Sandwiches, Delis",4.78
Chipotle Mexican Grill ,230 W Monroe St,60606,"Mexican, Southwestern",3.57
Chipotle Mexican Grill ,10 S La Salle St,60603,"Mexican, Southwestern",3.57
Chipotle Mexican Grill ,8 E Madison St,60602,"Mexican, Southwestern",3.48
Chipotle Mexican Grill ,233 W Lake St,60606,"Mexican, Southwestern",3.48
Chipotle Mexican Grill ,316 N Michigan Ave,60601,"Mexican, Southwestern",3.57
Chuck's Manufacturing ,224 N Michigan Ave,60601,American (Traditional),11.16
City Sub & Pizza  (CLOSED),17 S Wabash Ave,60603,"Sandwiches, Pizza",4.01
Coogan's ,180 N Wacker Dr,60606,"Bar Food, Wings",5.17
Corner Bakery Cafe ,224 S Michigan Ave,60604,"Cafes & Coffeehouses, Bakeries",6.43
Corner Bakery Cafe ,56 W Randolph St,60601,"Cafes & Coffeehouses, Bakeries",6.43
Corner Bakery Cafe ,140 S Dearborn St,60603,"Cafes & Coffeehouses, Bakeries",6.43
Corner Bakery Cafe ,123 N Wacker Dr,60606,"Cafes & Coffeehouses, Bakeries",6.43
Corner Bakery Cafe ,188 W Washington St,60602,"Cafes & Coffeehouses, Bakeries",6.43
Corner Bakery Cafe ,360 N Michigan Ave,60601,"Cafes & Coffeehouses, Bakeries",6.16
Corner Bakery Cafe ,233 S Wacker Dr,60606,"Cafes & Coffeehouses, Bakeries",6.43
Corner Bakery Cafe ,120 S LaSalle St,60603,"Cafes & Coffeehouses, Bakeries",6.43
Corner Bakery Cafe ,35 E Monroe St,60603,"Cafes & Coffeehouses, Bakeries",6.16
Corner Bakery Cafe ,200 N LaSalle St,60601,"Cafes & Coffeehouses, Bakeries",6.43
Cosi ,233 N Michigan Ave,60601,"Sandwiches, Soups, Salads, Cafes & Coffeehouses",6.53
Cosi ,230 W Washington St,60606,"Sandwiches, Soups, Salads, Cafes & Coffeehouses",6.53
Cosi ,116 S Michigan Ave,60603,"Sandwiches, Soups, Salads, Cafes & Coffeehouses",6.53
Cosi ,203 N La Salle St,60601,"Sandwiches, Soups, Salads, Cafes & Coffeehouses",6.53
Cosi ,33 N Dearborn St,60602,"Sandwiches, Soups, Salads, Cafes & Coffeehouses",6.53
Cosi ,230 W Monroe St,60606,"Sandwiches, Soups, Salads, Cafes & Coffeehouses",6.53
Courtway ,29 S LaSalle St,60603,Diners & Coffee Shops,5.58
Crepe Bistro ,186 N Wells St,60606,"French, Desserts, Crepes",9.38
Crumbs Bake Shop ,134 N Lasalle St,60602,"Desserts, Bakeries",21.98
Crumbs Bake Shop ,42 S Clark,60603,"Desserts, Bakeries",21.98
Crumbs Bake Shop ,303 W Madison St,60606,"Desserts, Bakeries",21.98
Currents on the River ,200 S Wacker Dr,60606,"Eclectic & International, American (New), Sandwiches, Wings",11.28
Curried  (CLOSED),171 N Wells St,60606,Indian,7.87
Curry Cruiser  (CLOSED),Location Varies,60654,"Indian, Pakistani",0
Daddy O's ,151 E Wacker Dr,60601,Gastropub,9.89
DelMonico ,111 W Washington St,60602,American (Traditional),2.33
Do-Rite Donuts ,50 W Randolph St,60601,"Bakeries, Cafes & Coffeehouses",0
e.leaven ,Location Varies,60606,"Sandwiches, Desserts",0
Eadie's Kitchen & Market ,233 S Wacker Dr,60606,"Sandwiches, Soups, Delis",5.15
Eat & Drink ,212 W Randolph St,60606,Chinese,11.36
Eggy's ,333 E Benton Pl,60601,"American (New), Diners & Coffee Shops",6.01
Einstein Bros ,180 N Michigan Ave,60601,"Sandwiches, Bagels",3.61
Einstein Bros ,30 N LaSalle,60602,"Sandwiches, Bagels",3.61
Elephant & Castle ,185 N Wabash Ave,60601,"Bar Food, British (Traditional), Irish",9.5
Elephant & Castle ,111 W Adams St,60603,"British (Traditional), Bar Food",8.6
Emerald Loop Bar & Grill ,216 N Wabash Ave,60601,"Irish, American (Traditional), Bar Food",8.96
Encore ,171 W Randolph St,60601,"American (New), Gastropub, Cocktails",10.08
ENO ,200 N Columbus Dr,60601,"Other, Desserts",87.71
Eppy's Deli ,162 N Franklin St,60606,Sandwiches,5.67
Exchequer ,226 S Wabash Ave,60604,"American (Traditional), Bar Food, Pizza",22.92
falafill ,72 E Adams St,60603,Middle Eastern,12.54
Faycurr's Urban Kitchen & Cafe ,100 S Wacker Dr,60606,American (Traditional),3.06
Filini ,221 N Columbus Dr,60601,Italian,12.04
Flat Top Grill ,30 S Wabash,60603,Asian Fusion,5.29
Flirty Cupcakes ,220 W Washington St,60606,"Desserts, Bakeries",0
Fontano's Subs ,20 E Jackson Blvd,60604,Sandwiches,5.06
Fresh Choice ,233 N Michigan Ave,60601,"Sandwiches, Soups",2.79
Freshii ,111 W Jackson Blvd,60604,"Sandwiches, Vegetarian-Friendly, Health Food",4.46
Freshii ,200 W Randolph St,60606,"Health Food, Sandwiches, Salads",6.62
Freshii ,17 E Monroe St,60603,"Health Food, Salads, Sandwiches",6.66
Freshii ,200 W Monroe St,60606,"Health Food, Salads, Sandwiches",6.36
Freshii ,161 N Clark St,60601,"Salads, Sandwiches, Health Food",4.51
Front Grill ,76 E Monroe St,60603,American (Traditional),11.23
Frontera Fresco ,111 N State St,60602,Mexican,6.38
Geneva ,323 E Wacker Dr,60601,Cafes & Coffeehouses,10.14
Giordano's ,223 W Jackson Blvd,60606,"Italian, Pizza",14.26
Giordano's ,135 E Lake St,60601,"Italian, Pizza",14.26
Gold Coast Dogs ,17 S Wabash Ave,60603,"Hot Dogs, Burgers",15.12
Gold Coast Dogs ,159 N Wabash Ave,60601,"Hot Dogs, Burgers",15.12
Goodwin's ,333 W Wacker Dr,60606,"Sandwiches, Salads",6.91
Great Street Restaurant ,1 W Wacker Dr,60601,American (New),10.03
Green Apple Yogurt & More ,201 N Clark St,60601,"Health Food, Japanese, Sandwiches, Sushi",3.1
GRK Greek Kitchen ,219 W Washington St,60606,"Mediterranean, Greek, Sandwiches, Salads",3.26
Haifa Cafe ,163 N Wells St,60606,"Middle Eastern, Sandwiches",5.03
Haifa Cafe ,24 E Adams St,60603,"Middle Eastern, Cafes & Coffeehouses",4.81
Haifa Cafe ,19 N Wells St,60606,"Middle Eastern, Sandwiches",5.03
Halo Asian Mix ,29 E Adams St.,60603,Asian Fusion,4.54
Halsted Street Deli ,177 N State St,60601,"Delis, Sandwiches",3.5
Halsted Street Deli ,222 N La Salle,60601,"Delis, Sandwiches",3.5
Halsted Street Deli ,233 N Michigan Ave,60601,"Delis, Sandwiches",3.5
Halsted Street Deli ,30 N LaSalle,60602,"Delis, Sandwiches",3.5
Halsted Street Deli ,1 S Franklin,60606,"Delis, Sandwiches",3.5
Hannah's Bretzel ,180 W Washington St,60602,"Sandwiches, Local/Organic",5.66
Hannah's Bretzel ,233 N Michigan Ave,60601,"Sandwiches, Local/Organic",5.66
Hannah's Bretzel ,131 S Dearborn St,60603,"Sandwiches, Local/Organic",5.66
Haute Sausage ,Location Varies,60606,Hot Dogs,0
Heaven on Seven ,111 N Wabash Ave,60602,"Southern & Soul, Cajun & Creole",7.64
Henri ,18 S Michigan Ave,60603,"American (New), French, Wild Game, Local/Organic, Cocktails",28.31
Hot Woks Cool Sushi ,30 S Michigan Ave,60603,"Asian Fusion, Japanese, Sushi",6.94
Hot Woks Cool Sushi ,312 W Adams St,60606,"Asian Fusion, Japanese, Sushi",6.6
Houlihan's ,111 E Wacker Dr,60601,"American (Traditional), Burgers",10.89
Hoyt's Chicago ,71 E Wacker Dr,60601,"American (New), Bar Food, Cocktails",10.05
I Dream Of Falafel ,112 W Monroe St,60603,Middle Eastern,3.22
I Dream Of Falafel ,555 W Monroe St,60606,"Middle Eastern, Mediterranean",3.67
I Love Sushi ,233 N Michigan Ave,60601,"Sushi, Japanese",11.67
III Forks ,180 N Field Blvd,60601,"Steakhouses, Seafood",16.92
InField's ,111 N State St,60602,American (Traditional),7.51
Intelligentsia Coffee ,53 W Jackson Blvd,60604,"Cafes & Coffeehouses, Sandwiches, Local/Organic",5.7
IPO ,172 W Adams St,60603,American (New),9.79
Jacques Coffee Shop ,128 S Wabash Ave,60603,"Cafes & Coffeehouses, Desserts, Bakeries",3.8
Jaffa Bakery ,201 N Clark St,60601,"Middle Eastern, Bakeries",6.57
Jaffa Bakery ,225 N Michigan Ave,60601,"Middle Eastern, Bakeries",6.57
Jaffa Grill ,105 W Madison St,60603,"Middle Eastern, Bakeries, Desserts",7.09
Jason's Deli ,195 N Dearborn St,60601,"Delis, Sandwiches",5.24
Jersey Mike's ,200 W Monroe St,60606,Sandwiches,1.92
Jersey Mike's Subs ,200 W Monroe St,60606,Sandwiches,1.85
Jersey Mike's Subs ,120 N Wells St,60606,Sandwiches,1.85
Jimmy John's ,201 W Madison St,60606,Sandwiches,2.13
Jimmy John's ,225 N Michigan Ave,60601,Sandwiches,2.13
Jimmy John's ,6 E Madison St,60602,Sandwiches,2.13
Jimmy John's ,28 N Clark St,60602,Sandwiches,2.13
Jimmy John's ,205 W Monroe St,60606,Sandwiches,2.13
Jimmy John's ,216 W Washington St,60606,Sandwiches,2.13
Jimmy John's ,249 S State St,60604,Sandwiches,2.13
Jimmy John's ,180 N La Salle St,60601,Sandwiches,2.13
Jimmy John's ,200 E Randolph St,60601,Sandwiches,2.13
Jimmy John's ,216 W Jackson Blvd,60606,Sandwiches,2.13
JJ Fish & Chicken ,26 E Adams St,60603,"Chicken, Wings, Seafood",11.88
Johnny Rockets  (CLOSED),177 N State St,60601,"American (Traditional), Burgers",4.87
Kamehachi Sushi Cafe ,311 S Wacker Dr,60606,"Japanese, Sushi",11.09
Khyber Pass ,233 E Wacker Dr,60601,Afghan,9.81
Kramer's Healthy Cafe & Juice Bar ,230 S Wabash Ave,60604,"Health Food, Vegetarian-Friendly, Local/Organic",2.79
La Bamba ,122 W Madison St,60602,Mexican,3.68
La Cantina ,71 W Monroe St,60603,Italian,15.88
La Cocina ,45 N Wells St,60606,Mexican,5.38
Lai Lai Korean Express ,330 S Wells St,60606,Korean,4.68
LavAzza ,33 N Dearborn St,60602,"Sandwiches, Cafes & Coffeehouses",0
Lemon Tree Express ,176 N Wells St,60610,"Chinese, Sushi",9.9
Lillie's Q Meat Mobile ,28 N Franklin St,60606,Barbecue,0
Lloyd's Chicago ,1 S Wacker Dr,60606,"American (New), American (Traditional)",9.98
Lockwood ,17 E Monroe St,60603,"American (New), Local/Organic",13.87
Luke's ,215 W Jackson Blvd,60606,"Pizza, Sandwiches",14.64
M Burger ,100 W Randolph,60601,Burgers,3.99
Mac Kelly's Greens n' Things ,216 W Jackson St,60606,"Delis, Sandwiches, Salads",2.54
Mac Kelly's Greens n' Things ,123 W Madison St,60602,"Delis, Sandwiches, Salads",2.54
Madison Street Cafe ,70 W Madison St,60602,"Soups, American (Traditional), Delis",4.62
Magnolia Bakery ,108 N State St,60601,"Bakeries, Desserts",9.94
Maison  (CLOSED),333 E Randolph St,60601,French,13.76
Marc Burger ,111 N State St,60602,Burgers,6.16
Market Creations Cafe ,233 S Wacker Dr,60606,"Delis, Sandwiches",8.37
Market Creations Cafe ,130 E Randolph St,60601,"Delis, Sandwiches",8.37
Market Creations Cafe ,20 N Wacker Dr,60606,"Delis, Sandwiches",8.37
Market Creations Cafe ,219 S Dearborn St,60604,"Delis, Sandwiches",8.37
Marquette Inn ,60 W Adams St,60603,"Delis, Sandwiches",4.71
Max's Take Out ,20 E Adams St,60602,"Hot Dogs, American (Traditional), Burgers",4.14
Maxim's Restaurant ,20 N Clark St,60602,Diners & Coffee Shops,9.41
McCormick & Schmick's ,1 E Wacker Dr,60601,"Steakhouses, American (Traditional), Seafood, Sushi",17.59
Meatyballs Mobile II  (CLOSED),Location Varies,60603,"Sandwiches, Barbecue",0
Meatyballs Mobile III  (CLOSED),Location Varies,60607,"Sandwiches, Barbecue",0
Mezcalina ,333 E Benton Pl,60601,Mexican,12.54
Mezza ,225 N Michigan Ave,60601,"Mediterranean, Middle Eastern",5.3
Mezza ,181 W Madison St,60602,"Mediterranean, Middle Eastern",6.25
Midtown Kitchen + Bar ,203 N LaSalle St,60601,American (New),9.86
Miller's Pub ,134 S Wabash Ave,60603,"American (Traditional), Steakhouses",9.26
Mista ,134 N LaSalle St,60602,"Pizza, Sandwiches",7.96
Mixed Greens ,223 W Lake St,60606,"Salads, Sandwiches",0
Monk's Pub ,205 W Lake St,60606,"American (Traditional), Bar Food",9.34
"Morton's, The Steakhouse ",65 E Wacker Pl,60601,"Steakhouses, American (Traditional), Seafood",24.59
Mr Submarine ,47 N Wells St,60606,Sandwiches,6.42
Mr Submarine  (CLOSED),52 E Lake St,60601,Sandwiches,6.42
Naf Naf Grill ,326 N Michigan Ave,60601,Middle Eastern,4.61
Native Foods Cafe ,218 S Clark St,60604,"Vegan, Vegetarian-Friendly, Health Food, Salads",10.48
Nesh Mediterranean Grill ,205 W Monroe St,60606,Mediterranean,4.96
Noodles & Company ,180 N Michigan Ave,60601,"Noodle Shops, American (Traditional), Mediterranean",4.25
Noodles & Company ,47 S Clark St,60602,"Noodle Shops, Salads, Sandwiches",3.73
Noodles by Takashi Yagihashi ,111 N State St,60602,"Japanese, Noodle Shops",8.27
Oasis Cafe ,21 N Wabash Ave,60602,"Middle Eastern, Moroccan",4.53
Off the Tracks Grill ,190 N Wells St,60606,"American (Traditional), Sandwiches",4.66
Olive Mediterranean Grill ,201 N Clark St,60601,Middle Eastern,1.95
One North Kitchen & Bar ,1 N Wacker Dr,60606,"American (New), Cocktails",13.74
Panda Express ,302 S Wells St,60606,Chinese,0
Panda Express ,100 W Randolph St,60601,Chinese,0
Panda Express ,110 W Monroe St,60603,Chinese,0
Panda Express ,130 E Randolph St,60601,Chinese,0
Panda Express ,29 E Madison St,60602,Chinese,0
Panda Express ,77 E Adams St,60603,Chinese,0
Panera Bread ,250 S Wacker Dr,60606,"Sandwiches, Desserts, Bakeries",0
Par Bar & Grille ,160 N Franklin St,60606,"American (Traditional), Bar Food",7.46
Park Grill ,11 N Michigan Ave,60602,"American (New), Local/Organic",10.45
Pastoral ,53 E Lake St,60601,Sandwiches,12.84
Pazzo's At 311 ,311 S Wacker Dr,60606,"Delis, Italian, Sandwiches",8.63
Pazzo's Cucina Italiana ,101 N Wacker Dr,60606,"Italian, Pizza",12.52
Perry's Deli ,174 N Franklin St,60606,"Sandwiches, Delis",7.44
Petros Restaurant & Bakery ,160 N LaSalle St,60601,Diners & Coffee Shops,7.99
Petterino's ,150 N Dearborn St,60601,"Steakhouses, American (Traditional)",11.72
Piano Terra ,125 E Monroe St,60603,"Italian, American (New)",13.81
Pierogi Heaven ,169 N Wells St,60606,"Polish, Eastern European",3.42
Pinky's Gyros & Beef ,100 W Randolph St,60601,Chicago Grill,4.5
Pita Express ,100 W Randolph St,60601,"Mediterranean, Middle Eastern",4.02
Pittsfield Cafe ,55 E Washington St,60602,"Sandwiches, American (Traditional), Delis",5.77
Pizano's Pizza & Pasta ,61 E Madison St,60603,"Italian, Pizza",22.54
Pockets ,309 W Lake St,60606,"Sandwiches, Other",4.06
Pollito's Grill & Rotisserie ,39 N Wells St,60616,Chicken,5.58
Ponte Fresco ,225 N Michigan Ave,60601,"Delis, Sandwiches",2.95
Potbelly Sandwich Shop ,225 W Randolph St,60606,Sandwiches,5.71
Potbelly Sandwich Shop ,547 W Jackson Blvd,60606,Sandwiches,5.71
Potbelly Sandwich Shop ,200 S Michigan Ave,60604,Sandwiches,4.62
Potbelly Sandwich Shop ,55 W Monroe St,60603,Sandwiches,5.71
Potbelly Sandwich Shop ,209 S La Salle St,60604,Sandwiches,5.71
Potbelly Sandwich Shop ,150 S Wacker Dr,60606,Sandwiches,5.71
Potbelly Sandwich Shop ,111 E Wacker Dr,60601,Sandwiches,5.71
Potbelly Sandwich Shop ,225 W Randolph St,60606,Sandwiches,5.71
Potbelly Sandwich Shop ,1 N La Salle St,60602,Sandwiches,5.71
Potbelly Sandwich Shop ,303 W Madison St,60606,Sandwiches,5.71
Potbelly Sandwich Shop ,190 N State St,60601,Sandwiches,5.71
Potter's ,17 E Monroe St,60603,"American (New), French, Italian, Cocktails",19.11
Pret A Manger ,225 N Michigan Ave,60601,"Sandwiches, Local/Organic, Salads",0
Pret a Manger ,211 W Adams St,60606,"Sandwiches, Local/Organic, Salads",0
Pret A Manger ,1 S State St,60603,"Sandwiches, Local/Organic, Salads",0
Pret A Manger ,100 N LaSalle,60602,"Sandwiches, Local/Organic, Salads",0
Pret A Manger ,73 W Monroe St,60603,"Sandwiches, Local/Organic, Salads",0
Primebar ,155 N Wacker Dr,60606,"American (New), Bar Food, Cocktails",10.6
Protein Bar ,10 S Clinton St,60606,Health Food,4.07
Protein Bar ,221 W Washington St,60606,"Health Food, Smoothies/Juice Bar",4.64
Protein Bar ,235 S Franklin St,60605,"Smoothies/Juice Bar, Health Food, Salads",4.82
Protein Bar ,10 W Lake St,60601,"Smoothies/Juice Bar, Health Food, Salads",4.78
Qdoba Mexican Grill  (CLOSED),328 N Michigan Ave,60601,Mexican,4.6
Qdoba Mexican Grill ,58 E Randolph St,60601,Mexican,4.6
Qdoba Mexican Grill ,100 N LaSalle St,60602,Mexican,4.6
Red Mango ,10 S Dearborn St,60603,Desserts,0
Ricobene's Pizzeria ,205 W Wacker Dr,60606,"Italian, Pizza",6.96
Rittergut ,10 S Wacker Dr,60606,"Wine Bar, American (New), Small Plates/Tapas",10.17
Rivers ,30 S Wacker Dr,60606,American (New),16.64
Riverwalk Cafe ,401 N Michigan Ave,60601,"Sandwiches, Local/Organic",8.36
Roly Poly Sandwiches ,29 S La Salle St,60603,Sandwiches,11.83
Ronny's Original Steakhouse ,100 W Randolph St,60601,"Steakhouses, American (Traditional)",6.96
Roof ,201 N State St,60601,"American (New), Mediterranean, Small Plates/Tapas, Gastropub, Cocktails",16.75
Rosebud Express ,70 W Madison St,60602,Sandwiches,4.95
Rosebud Prime ,1 S Dearborn St,60603,"Steakhouses, Seafood",15.87
Rosebud Theater District ,70 W Madison St,60602,Italian,12.71
Roti Mediterranean Grill ,33 N Dearborn St,60602,"Mediterranean, Sandwiches, Salads",5.69
Roti Mediterranean Grill ,310 W Adams St,60606,"Mediterranean, Sandwiches, Salads",5.69
Ruby Of Siam ,170 W Washington Ave,60602,Thai,9.89
Rudy's Bar & Grille ,69 E Madison St,60603,"Burgers, Bar Food, American (Traditional)",8.79
Russian Tea Time ,77 E Adams St,60603,"Russian, Eastern European",15.62
Salad Spinners ,200 E Randolph St,60601,"Salads, American (Traditional), Local/Organic",5.62
Salad Spinners ,200 W Monroe St,60606,"Salads, American (Traditional)",5.62
Salseria ,233 S Wacker Dr,60606,Mexican,10.42
Seventh ,400 E Randolph St,60601,"Burgers, Pizza, Sandwiches",5.34
Siam Rice ,117 N Wells St,60606,Thai,6.54
Sidebar Grille ,221 N La Salle St,60601,"American (Traditional), Bar Food, Wings",8.55
Silk Road ,19 S LaSalle St #1,60603,Chinese,3.88
Simply Fresh ,150 N Michigan Ave,60601,Sandwiches,2.66
Simply Thalia ,108 N State St,60602,"Thai, Sushi, Japanese",6.66
Sixty Five Chinese Restaurant ,336 N Michigan Ave,60601,"Chinese, Desserts, Bakeries",17.75
Sixty Five Chinese Restaurant ,201 W Madison St,60606,"Chinese, Desserts, Bakeries",17.75
Snarf's ,180 N Stetson Ave,60601,Sandwiches,3.94
Sopraffina ,10 N Dearborn St,60602,"Italian, Sandwiches, Pizza",10.57
Sopraffina ,111 E Wacker Dr,60601,"Italian, Sandwiches, Desserts, Bakeries",11.88
Sopraffina ,200 E Randolph St,60601,"Italian, Sandwiches, Desserts, Bakeries, Pizza",6.33
Sopraffina ,222 W Adams St,60606,"Italian, Sandwiches, Desserts, Bakeries",11.88
South Branch ,100 S Wacker Dr,60606,"Gastropub, American (Traditional)",9.83
South Water Kitchen ,225 N Wabash Ave,60602,"American (Traditional), Local/Organic",10.38
Specialty's Cafe & Bakery ,191 N Wacker Dr,60606,"Sandwiches, Bakeries, Cafes & Coffeehouses",16.43
Starfruit ,108 N State St,60602,"Other, Local/Organic, Desserts",2.14
Starfruit ,Location Varies,60606,"Desserts, Smoothies/Juice Bar",0
State and Lake Chicago Tavern ,201 N State St,60601,"American (New), American (Traditional), Diners & Coffee Shops",9.74
Steak Express ,201 N Clark St,60601,"Cheesesteaks, Burgers, Sandwiches",4.14
Stetsons Modern Steak + Sushi ,151 E Wacker Dr,60601,"Steakhouses, Japanese, Sushi",15.72
Stocks & Blondes ,36 N Wells St,60606,"Sandwiches, American (Traditional), Bar Food",8.32
Sugar Bliss ,115 N Wabash Ave,60602,"Desserts, Bakeries",2.27
Sushi Sai ,123 N Wacker Dr,60606,"Sushi, Japanese",10.25
Sweet Ride ,Location Varies,60602,"Desserts, Bakeries",0
Taco Fresco ,23 E Adams St,60603,Mexican,5.45
Taco Fresco ,335 S Franklin St,60606,Mexican,5.45
Taco Fresco ,180 N Wells St,60606,Mexican,5.45
Taco Fresco ,151 E Randolph St,60601,Mexican,5.45
Taco Fresco ,29 N Wacker Dr,60606,Mexican,3.82
Tamale Guy Truck ,Location Varies,60606,Mexican,0
Tavern at the Park ,130 E Randolph St,60601,"American (New), American (Traditional), Bar Food",16.41
Taza ,176 N Franklin St,60606,"Mediterranean, Middle Eastern",6.05
Terzo Piano ,159 E Monroe St,60603,Italian,12.77
Tesori ,65 E Adams St,60603,Italian,13.81
The Bar Below ,127 S State St,60603,"American (Traditional), Bar Food",7.1
The Courthouse Cafe ,219 S Dearborn St,60604,American (Traditional),0
The Florentine ,151 W Adams St,60604,Italian,13.62
The Gage ,24 S Michigan Ave,60603,"American (New), Gastropub, Bar Food, Wild Game",11.13
The Garden Cafe ,111 S Michigan Ave,60603,"French, American (Traditional)",4.1
The Garden Restaurant ,111 S Michigan Ave,60603,American (New),11.08
The Green at Grant Park ,352 E Monroe St,60603,American (Traditional),30.13
The Grillroom ,33 W Monroe St,60603,Steakhouses,14.26
The Metropolitan Club ,233 S Wacker Dr,60606,"American (New), Wine Bar",13.54
The Palm ,323 E Wacker Dr,60601,"Steakhouses, Italian",22.06
The Phoenix Lounge ,201 N State St,60601,"American (New), Small Plates/Tapas, Cocktails",23.71
The Southern Mac Truck ,Location Varies,60606,"Southern & Soul, Other, Vegetarian-Friendly",7.42
The Tamale Spaceship ,Location Varies,60661,Mexican,4.54
The Tilted Kilt ,17 N Wabash,60602,"Bar Food, American (Traditional), Irish",8.39
The Village ,71 W Monroe St,60603,Italian,14.48
The Walnut Room ,111 N State St,60602,"American (New), Local/Organic",8.29
Theory ,9 W Hubbard Street,60654,"American (Traditional), Bar Food, Southwestern, Wings",10.03
Toast It ,201 N Clark St,60601,Sandwiches,6.73
Tokyo Lunch Box ,100 W Randolph St,60601,"Japanese, Sushi",7.22
Tokyo Lunch Box ,60 E Jackson Blvd,60604,"Japanese, Sushi",7.22
Tokyo Lunch Box ,37 N Wells St,60606,"Japanese, Sushi",7.22
Tokyo Lunch Box ,111 E Wacker Dr,60601,"Japanese, Sushi",7.22
Toni Patisserie & Cafe ,65 E Washington St,60602,"Bakeries, Desserts, Sandwiches",12.28
Tortas Frontera ,130 E Randolph St,60601,"Mexican, Local/Organic",6.27
Townhouse ,111 S Wacker Dr,60606,"Eclectic & International, Wine Bar",10.52
Trattoria No. 10 (Trattoria No. Ten) ,10 N Dearborn St,60602,Italian,16.19
Traveling Burrito ,Location Varies,60603,Mexican,0
Triple 1 Chinese Resturant  (CLOSED),177 N State St,60601,Chinese,9.63
Tuscany Cafe  (CLOSED),77 W Wacker Dr,60601,"Italian, Sandwiches, Pizza",6.81
